prices,market_caps,total_volumes,id_coin,date
7977.245,141356836449.39377,27368459147.198563,bitcoin,2019-05-25
8037.627,142301375408.95212,23978335158.484913,bitcoin,2019-05-26
8631.081,152778982387.80127,29224396883.37161,bitcoin,2019-05-27
8816.034,156351517828.83902,33136840741.263596,bitcoin,2019-05-28
8726.978,154706420284.54605,27335990651.150314,bitcoin,2019-05-29
8650.677,153190671229.78632,28214892246.82482,bitcoin,2019-05-30
8310.891,147528939419.42154,33295240431.3568,bitcoin,2019-05-31
8575.646,152037344606.20877,30329343188.810726,bitcoin,2019-06-01
8554.262,151754429106.1446,26683797989.859898,bitcoin,2019-06-02
8743.705,155008799790.32507,25133975363.261288,bitcoin,2019-06-03
8173.633,145118113641.65356,24486741553.27431,bitcoin,2019-06-04
7683.636,136045887609.96283,25442100899.747612,bitcoin,2019-06-05
7812.449,138590833268.1022,24641673547.477314,bitcoin,2019-06-06
7821.124,138816674700.54028,24560046377.825275,bitcoin,2019-06-07
8036.108,142810130543.30536,23629265497.41496,bitcoin,2019-06-08
7942.539,140990840427.82074,19829877310.707806,bitcoin,2019-06-09
7668.03,136055336062.27316,20152037017.9227,bitcoin,2019-06-10
8002.73,141925422733.43433,21741587787.865116,bitcoin,2019-06-11
7897.975,140220553937.84616,21017248550.29671,bitcoin,2019-06-12
8145.059,144409895371.7695,22181532883.49916,bitcoin,2019-06-13
8227.626,145982200973.5864,22919390183.839664,bitcoin,2019-06-14
8671.505,154448670610.87314,23291543613.425556,bitcoin,2019-06-15
8818.61,156571955413.46933,21892878336.785255,bitcoin,2019-06-16
8978.773,159990740760.34872,27305637341.28109,bitcoin,2019-06-17
9312.868,165478791606.02725,27464356714.403492,bitcoin,2019-06-18
9094.022,161689176435.31613,25029522786.9119,bitcoin,2019-06-19
9285.929,164856060873.05832,22298101529.460793,bitcoin,2019-06-20
9548.315,169961289184.54773,24707058599.119995,bitcoin,2019-06-21
10118.359,179686819951.0701,28580960082.617817,bitcoin,2019-06-22
10704.922,190271555704.10333,40190146696.56423,bitcoin,2019-06-23
10846.125,193006026351.06372,29108428088.363773,bitcoin,2019-06-24
11045.55,196224565118.84543,27529761440.98961,bitcoin,2019-06-25
11808.42,209906767119.21564,33544426408.459377,bitcoin,2019-06-26
12996.124,231104555834.96542,56948964491.46552,bitcoin,2019-06-27
11178.683,198805331511.7231,49628524363.00495,bitcoin,2019-06-28
12352.197,219700496726.02618,44872003180.54631,bitcoin,2019-06-29
11972.556,213020899675.1298,37724824506.92749,bitcoin,2019-06-30
10888.097,193705059813.9276,34920211165.40479,bitcoin,2019-07-01
10639.046,189075622551.36316,37463414436.63033,bitcoin,2019-07-02
10822.764,191741802293.97986,39264695559.40571,bitcoin,2019-07-03
11975.637,213139916541.64767,39944515601.67296,bitcoin,2019-07-04
11229.606,199869428146.8407,32487314999.664185,bitcoin,2019-07-05
10987.249,195514947598.0145,31349147296.84112,bitcoin,2019-07-06
11279.476,200989208002.57162,28013279880.59072,bitcoin,2019-07-07
11436.431,203441013269.87305,25828700446.947784,bitcoin,2019-07-08
12260.283,217909027168.13293,30917398835.988853,bitcoin,2019-07-09
12544.167,223082925042.62775,35885342263.04269,bitcoin,2019-07-10
12166.398,216918064309.90915,42163626088.16242,bitcoin,2019-07-11
